row_id,age_imputed,age_clean,embarked_imputed,embarked_clean,embark_town_clean,deck_known,deck_clean,who_clean,adult_male_clean
1,False,22.0,False,S,Southampton,False,Unknown,man,True
2,False,38.0,False,C,Cherbourg,True,C,woman,False
3,False,26.0,False,S,Southampton,False,Unknown,woman,False
4,False,35.0,False,S,Southampton,True,C,woman,False
5,False,35.0,False,S,Southampton,False,Unknown,man,True
6,True,25.0,False,Q,Queenstown,False,Unknown,man,True
7,False,54.0,False,S,Southampton,True,E,man,True
8,False,2.0,False,S,Southampton,False,Unknown,child,False
9,False,27.0,False,S,Southampton,False,Unknown,woman,False
10,False,14.0,False,C,Cherbourg,False,Unknown,child,False
11,False,4.0,False,S,Southampton,True,G,child,False
12,False,58.0,False,S,Southampton,True,C,woman,False
13,False,20.0,False,S,Southampton,False,Unknown,man,True
14,False,39.0,False,S,Southampton,False,Unknown,man,True
15,False,14.0,False,S,Southampton,False,Unknown,child,False
16,False,55.0,False,S,Southampton,False,Unknown,woman,False
17,False,2.0,False,Q,Queenstown,False,Unknown,child,False
18,True,30.0,False,S,Southampton,False,Unknown,man,True
19,False,31.0,False,S,Southampton,False,Unknown,woman,False
20,True,21.5,False,C,Cherbourg,False,Unknown,woman,False
21,False,35.0,False,S,Southampton,False,Unknown,man,True
22,False,34.0,False,S,Southampton,True,D,man,True
23,False,15.0,False,Q,Queenstown,False,Unknown,child,False
24,False,28.0,False,S,Southampton,True,A,man,True
25,False,8.0,False,S,Southampton,False,Unknown,child,False
26,False,38.0,False,S,Southampton,False,Unknown,woman,False
27,True,25.0,False,C,Cherbourg,False,Unknown,man,True
28,False,19.0,False,S,Southampton,True,C,man,True
29,True,21.5,False,Q,Queenstown,False,Unknown,woman,False
30,True,25.0,False,S,Southampton,False,Unknown,man,True
31,False,40.0,False,C,Cherbourg,False,Unknown,man,True
32,True,35.0,False,C,Cherbourg,True,B,woman,False
33,True,21.5,False,Q,Queenstown,False,Unknown,woman,False
34,False,66.0,False,S,Southampton,False,Unknown,man,True
35,False,28.0,False,C,Cherbourg,False,Unknown,man,True
36,False,42.0,False,S,Southampton,False,Unknown,man,True
37,True,25.0,False,C,Cherbourg,False,Unknown,man,True
38,False,21.0,False,S,Southampton,False,Unknown,man,True
39,False,18.0,False,S,Southampton,False,Unknown,woman,False
40,False,14.0,False,C,Cherbourg,False,Unknown,child,False
41,False,40.0,False,S,Southampton,False,Unknown,woman,False
42,False,27.0,False,S,Southampton,False,Unknown,woman,False
43,True,25.0,False,C,Cherbourg,False,Unknown,man,True
44,False,3.0,False,C,Cherbourg,False,Unknown,child,False
45,False,19.0,False,Q,Queenstown,False,Unknown,woman,False
46,True,25.0,False,S,Southampton,False,Unknown,man,True
47,True,25.0,False,Q,Queenstown,False,Unknown,man,True
48,True,21.5,False,Q,Queenstown,False,Unknown,woman,False
49,True,25.0,False,C,Cherbourg,False,Unknown,man,True
50,False,18.0,False,S,Southampton,False,Unknown,woman,False
51,False,7.0,False,S,Southampton,False,Unknown,child,False
52,False,21.0,False,S,Southampton,False,Unknown,man,True
53,False,49.0,False,C,Cherbourg,True,D,woman,False
54,False,29.0,False,S,Southampton,False,Unknown,woman,False
55,False,65.0,False,C,Cherbourg,True,B,man,True
56,True,40.0,False,S,Southampton,True,C,man,True
57,False,21.0,False,S,Southampton,False,Unknown,woman,False
58,False,28.5,False,C,Cherbourg,False,Unknown,man,True
59,False,5.0,False,S,Southampton,False,Unknown,child,False
60,False,11.0,False,S,Southampton,False,Unknown,child,False
61,False,22.0,False,C,Cherbourg,False,Unknown,man,True
62,False,38.0,True,S,Southampton,True,B,woman,False
63,False,45.0,False,S,Southampton,True,C,man,True
64,False,4.0,False,S,Southampton,False,Unknown,child,False
65,True,40.0,False,C,Cherbourg,False,Unknown,man,True
66,True,25.0,False,C,Cherbourg,False,Unknown,man,True
67,False,29.0,False,S,Southampton,True,F,woman,False
68,False,19.0,False,S,Southampton,False,Unknown,man,True
69,False,17.0,False,S,Southampton,False,Unknown,woman,False
70,False,26.0,False,S,Southampton,False,Unknown,man,True
71,False,32.0,False,S,Southampton,False,Unknown,man,True
72,False,16.0,False,S,Southampton,False,Unknown,woman,False
73,False,21.0,False,S,Southampton,False,Unknown,man,True
74,False,26.0,False,C,Cherbourg,False,Unknown,man,True
75,False,32.0,False,S,Southampton,False,Unknown,man,True
76,False,25.0,False,S,Southampton,True,F,man,True
77,True,25.0,False,S,Southampton,False,Unknown,man,True
78,True,25.0,False,S,Southampton,False,Unknown,man,True
79,False,0.83,False,S,Southampton,False,Unknown,child,False
80,False,30.0,False,S,Southampton,False,Unknown,woman,False
81,False,22.0,False,S,Southampton,False,Unknown,man,True
82,False,29.0,False,S,Southampton,False,Unknown,man,True
83,True,21.5,False,Q,Queenstown,False,Unknown,woman,False
84,False,28.0,False,S,Southampton,False,Unknown,man,True
85,False,17.0,False,S,Southampton,False,Unknown,woman,False
86,False,33.0,False,S,Southampton,False,Unknown,woman,False
87,False,16.0,False,S,Southampton,False,Unknown,man,True
