age_z,fare_log1p_z,family_size,family_size_sq,is_minor,sex_male,pclass_2,pclass_3,embarked_clean_Q,embarked_clean_S
-0.534891162868889,-0.879740569393428,2,4.0,0,1,0,1,0,1
0.6683917564561227,1.3612199269233836,2,4.0,0,0,0,0,0,0
-0.23407043303763608,-0.7985399740528022,1,1.0,0,0,0,1,0,1
0.44277620908268306,1.0620380556287108,2,4.0,0,0,0,0,0,1
0.44277620908268306,-0.7841792430073969,1,1.0,0,1,0,1,0,1
-0.3092756154954493,-0.7386163019798166,1,1.0,0,1,0,1,1,0
1.8716746757811344,1.0381455622323272,1,1.0,0,1,0,0,0,1
-2.0389948120251535,0.13649913806595412,5,25.0,1,1,0,1,0,1
-0.15886525057982284,-0.48145578049281346,3,9.0,0,0,0,1,0,1
-1.136532622531395,0.4894379098126232,2,4.0,1,0,1,0,0,0
-1.8885844471095272,-0.09156500424402263,3,9.0,1,0,0,1,0,1
2.1724954056123873,0.3652609357040262,1,1.0,0,0,0,0,0,1
-0.6853015277845155,-0.7841792430073969,1,1.0,0,1,0,1,0,1
0.743596938913936,0.5286989276421438,7,49.0,0,1,0,1,0,1
-1.136532622531395,-0.8067633807960332,1,1.0,1,0,0,1,0,1
1.9468798582389477,-0.13322852057373058,1,1.0,0,0,1,0,0,1
-2.0389948120251535,0.4575195394387211,6,36.0,1,1,0,1,1,0
0.06675029679361687,-0.33369847260903374,1,1.0,0,1,1,0,0,1
0.1419554792514301,-0.018385836972892044,2,4.0,0,0,0,1,0,1
-0.5724937540977957,-0.8828741679067219,1,1.0,0,0,0,1,0,0
0.44277620908268306,0.34443948019553633,1,1.0,0,1,1,0,0,1
0.3675710266248698,-0.33369847260903374,1,1.0,0,1,1,0,0,1
-1.0613274400735817,-0.786555058725136,1,1.0,1,0,0,1,1,0
-0.0836600681220096,0.6557188297748955,1,1.0,0,1,0,0,0,1
-1.5877637172782744,0.13649913806595412,5,25.0,1,0,0,1,0,1
0.6683917564561227,0.5322916934007407,7,49.0,0,0,0,1,0,1
-0.3092756154954493,-0.8828741679067219,1,1.0,0,1,0,1,0,0
-0.7605067102423287,2.698700779445489,6,36.0,0,1,0,0,0,1
-0.5724937540977957,-0.8038521494426434,1,1.0,0,0,0,1,1,0
-0.3092756154954493,-0.801923616602662,1,1.0,0,1,0,1,0,1
0.8188021213717492,0.4082334475616763,1,1.0,0,1,0,0,0,0
0.44277620908268306,2.0977949200217725,2,4.0,0,0,0,0,0,0
-0.5724937540977957,-0.8189865811572417,1,1.0,0,0,0,1,1,0
2.7741368652748934,-0.5368057694182642,1,1.0,0,1,1,0,0,1
-0.0836600681220096,1.506085779788397,2,4.0,0,1,0,0,0,0
0.9692124862873757,1.0408277503255376,2,4.0,0,1,0,0,0,1
-0.3092756154954493,-0.8823470582632058,1,1.0,0,1,0,1,0,0
-0.6100963453267022,-0.7841792430073969,1,1.0,0,1,0,1,0,1
-0.8357118927001419,-0.018385836972892044,3,9.0,0,0,0,1,0,1
-1.136532622531395,-0.47227211715402745,2,4.0,1,0,0,1,0,0
0.8188021213717492,-0.6331972544104216,2,4.0,0,0,0,1,0,1
-0.15886525057982284,0.13298517012197922,2,4.0,0,0,1,0,0,1
-0.3092756154954493,-0.801923616602662,1,1.0,0,1,0,1,0,0
-1.9637896295673405,0.8147822510349935,4,16.0,1,0,1,0,0,0
-0.7605067102423287,-0.8038521494426434,1,1.0,0,0,0,1,1,0
-0.3092756154954493,-0.7841792430073969,1,1.0,0,1,0,1,0,1
-0.3092756154954493,-0.1640522996256445,2,4.0,0,1,0,1,1,0
-0.5724937540977957,-0.8189865811572417,1,1.0,0,0,0,1,1,0
-0.3092756154954493,0.16437971416667368,3,9.0,0,1,0,1,0,0
-0.8357118927001419,-0.02931207562706515,2,4.0,0,0,0,1,0,1
-1.6629688997360874,0.7678594338107122,6,36.0,1,1,0,1,0,1
-0.6100963453267022,-0.8131032608653794,1,1.0,0,1,0,1,0,1
1.4956487634920683,1.4362199751817064,2,4.0,0,0,0,0,0,0
-0.00845488566419637,0.34443948019553633,2,4.0,0,0,1,0,0,1
2.69893168281708,1.2189504454470095,2,4.0,0,1,0,0,0,0
0.8188021213717492,0.6557188297748955,1,1.0,0,1,0,0,0,1
-0.6100963453267022,-0.5368057694182642,1,1.0,0,0,1,0,0,1
-0.04605747689310299,-0.8823470582632058,1,1.0,0,1,0,1,0,0
-1.813379264651714,0.4092826615690945,4,16.0,1,0,1,0,0,1
-1.3621481699048346,0.9363610927004852,8,64.0,1,1,0,1,0,1
-0.534891162868889,-0.8823470582632058,1,1.0,0,1,0,1,0,0
0.6683917564561227,1.47877854998348,1,1.0,0,0,0,0,0,1
1.1948280336608155,1.5221510751129652,2,4.0,0,1,0,0,0,1
-1.8885844471095272,0.41465571749790725,6,36.0,1,1,0,1,0,1
0.8188021213717492,0.4082334475616763,1,1.0,0,1,0,0,0,0
-0.3092756154954493,-0.18008316987206646,3,9.0,0,1,0,1,0,0
-0.00845488566419637,-0.5368057694182642,1,1.0,0,0,1,0,0,1
-0.7605067102423287,-0.7718965778779474,1,1.0,0,1,0,1,0,1
-0.9109170751579552,-0.7985399740528022,7,49.0,0,0,0,1,0,1
-0.23407043303763608,-0.7165619336211219,3,9.0,0,1,0,1,0,1
0.21716066170924334,-0.5368057694182642,1,1.0,0,1,1,0,0,1
-0.9861222576157684,0.9363610927004852,8,64.0,0,0,0,1,0,1
-0.6100963453267022,1.392408228635536,1,1.0,0,1,1,0,0,1
-0.23407043303763608,-0.23166125968823228,2,4.0,0,1,0,1,0,0
0.21716066170924334,1.1248955097361606,1,1.0,0,1,0,1,0,1
-0.3092756154954493,-0.8308547568549532,1,1.0,0,1,0,1,0,1
-0.3092756154954493,-0.801923616602662,1,1.0,0,1,0,1,0,1
-0.3092756154954493,-0.7841792430073969,1,1.0,0,1,0,1,0,1
-2.126984875500795,0.4532263111425749,3,9.0,1,1,1,0,0,1
0.06675029679361687,-0.3731626361213423,1,1.0,0,0,0,1,0,1
-0.534891162868889,-0.6811127586453685,1,1.0,0,1,0,1,0,1
-0.00845488566419637,-0.630735942356657,1,1.0,0,1,0,1,0,1
-0.5724937540977957,-0.8145709511162283,1,1.0,0,0,0,1,1,0
-0.0836600681220096,0.9406632652481022,1,1.0,0,1,0,0,0,1
-0.9109170751579552,-0.5368057694182642,1,1.0,0,0,1,0,0,1
0.2923658441670566,-0.14237942169106094,4,16.0,0,0,0,1,0,1
-0.9861222576157684,0.6233938271906205,5,25.0,0,1,0,1,0,1
-0.3092756154954493,-0.7841792430073969,1,1.0,0,1,0,1,0,1
-0.4596859804110758,2.698700779445489,6,36.0,0,0,0,0,0,1
-0.38448079795326257,-0.7841792430073969,1,1.0,0,1,0,1,0,1
-0.00845488566419637,-0.7841792430073969,1,1.0,0,1,0,1,0,1
-0.6853015277845155,-0.8067633807960332,1,1.0,0,1,0,1,0,1
1.2700332161186285,1.2056809915054139,2,4.0,0,1,0,0,0,1
-0.23407043303763608,0.11284358066326508,4,16.0,0,1,0,1,0,1
2.2477005880702006,-0.879740569393428,1,1.0,0,1,0,1,0,1
-0.3092756154954493,-0.7841792430073969,1,1.0,0,1,0,1,0,1
3.1501627775639593,0.6315110816648205,1,1.0,0,1,0,0,0,0
-0.4596859804110758,1.2413162669249835,2,4.0,0,1,0,0,0,0
0.3675710266248698,0.22282614992299976,2,4.0,0,0,1,0,0,1
0.3675710266248698,0.34443948019553633,2,4.0,0,1,1,0,0,1
-0.0836600681220096,-0.801923616602662,1,1.0,0,0,0,1,0,1
-0.3092756154954493,-0.801923616602662,1,1.0,0,1,0,1,0,1
-0.6100963453267022,1.4436096755228414,2,4.0,0,1,0,0,0,1
0.2923658441670566,-0.717449240028906,1,1.0,0,1,0,1,0,1
0.5931865739983095,-0.7985399740528022,3,9.0,0,1,0,1,0,1
-0.0836600681220096,-0.801923616602662,1,1.0,0,1,0,1,0,1
-0.6100963453267022,-0.8308547568549532,1,1.0,0,0,0,1,0,1
-0.3092756154954493,-0.8160407306065735,1,1.0,0,1,0,1,0,1
0.6683917564561227,-0.801923616602662,1,1.0,0,1,0,1,0,1
-0.5724937540977957,0.27115228049766626,2,4.0,0,0,0,1,1,0
1.3452383985764418,1.0408277503255376,1,1.0,0,1,0,0,0,1
-1.0989300313024883,-0.23166125968823228,2,4.0,1,0,0,1,0,0
-0.534891162868889,-0.7841792430073969,1,1.0,0,1,0,1,0,1
-0.6853015277845155,-0.5992616204389829,2,4.0,0,0,0,1,0,1
-0.9109170751579552,-0.23138736843472302,1,1.0,0,0,0,1,0,0
-0.6100963453267022,-0.7985399740528022,1,1.0,0,1,0,1,0,1
3.112560186335053,-0.8189865811572417,1,1.0,0,1,0,1,1,0
-0.00845488566419637,0.13298517012197922,2,4.0,0,1,1,0,0,1
-0.38448079795326257,2.6363132839087293,2,4.0,0,1,0,0,0,0
-2.0389948120251535,0.5286989276421438,7,49.0,1,0,0,1,0,1
-0.6100963453267022,1.392408228635536,3,9.0,0,1,1,0,0,1
-0.3092756154954493,-0.7841792430073969,1,1.0,0,1,0,1,0,1
0.25476325293814994,0.4894379098126232,2,4.0,0,1,1,0,0,0
0.25476325293814994,-0.33369847260903374,1,1.0,0,0,1,0,0,1
1.8716746757811344,1.4436096755228414,2,4.0,0,1,0,0,0,1
-1.2869429874470213,-0.47227211715402745,2,4.0,1,1,0,1,0,0
-0.3092756154954493,-0.8189865811572417,1,1.0,0,1,0,1,1,0
-0.38448079795326257,-0.8933844909173267,1,1.0,0,1,0,1,0,1
-0.5724937540977957,0.19484336402527694,3,9.0,0,0,0,1,0,0
1.1948280336608155,-0.9147445967366701,1,1.0,0,1,0,1,0,1
0.2923658441670566,-0.801923616602662,1,1.0,0,1,0,1,0,0
-0.6853015277845155,-0.905079753149712,1,1.0,0,1,0,1,0,1
1.3452383985764418,-0.22860581346535835,2,4.0,0,0,0,1,0,1
-0.00845488566419637,0.34443948019553633,2,4.0,0,0,1,0,0,1
-0.3092756154954493,-0.33369847260903374,1,1.0,0,1,1,0,0,1
-0.4596859804110758,-0.1928732839633733,1,1.0,0,1,1,0,0,0
-0.7605067102423287,0.35521684813142823,3,9.0,0,0,0,0,0,1
0.5931865739983095,1.0620380556287108,2,4.0,0,1,0,0,0,1
-0.9861222576157684,-0.6589770356240849,1,1.0,0,1,0,1,0,1
-0.38448079795326257,1.4685301291949249,1,1.0,0,1,0,0,0,0
-0.5724937540977957,-0.18008316987206646,3,9.0,0,0,0,1,0,0
-0.534891162868889,-0.8189865811572417,1,1.0,0,0,0,1,0,1
-0.38448079795326257,-0.14237942169106094,2,4.0,0,0,0,1,0,1
-0.7605067102423287,-0.9442940832331419,1,1.0,0,1,0,1,1,0
-0.8357118927001419,-0.45071259742579334,1,1.0,0,1,1,0,0,1
-0.7605067102423287,0.690487095062628,3,9.0,0,1,1,0,0,1
-0.15886525057982284,-0.8135961720983268,1,1.0,0,1,0,1,0,1
-1.512558534820461,0.6233938271906205,5,25.0,1,0,0,1,0,1
0.5555839827694029,0.34443948019553633,3,9.0,0,1,1,0,0,1
0.9692124862873757,-0.33369847260903374,1,1.0,0,1,1,0,0,1
1.6460591284076949,-0.36933848390685575,1,1.0,0,1,1,0,0,1
-0.534891162868889,1.292056438357112,2,4.0,0,0,0,0,0,1
1.9844824494678543,-0.7841792430073969,1,1.0,0,1,0,1,0,1
0.8564047126006559,-0.22860581346535835,3,9.0,0,1,0,1,0,1
-0.3092756154954493,-0.8719479292525484,1,1.0,0,1,0,1,0,1
1.6460591284076949,1.2090665177434,2,4.0,0,1,0,0,0,0
-0.9861222576157684,-0.820959102119349,1,1.0,0,0,0,1,1,0
0.06675029679361687,-0.7841792430073969,1,1.0,0,1,0,1,0,1
-0.3092756154954493,-0.7165619336211219,1,1.0,0,1,0,1,0,1
-0.3092756154954493,1.336159179457635,11,121.0,0,1,0,1,0,1
1.1196228512030022,-0.12717266791993015,2,4.0,0,1,0,1,0,1
0.8188021213717492,-0.14852539172808382,1,1.0,0,0,1,0,0,1
-0.23407043303763608,-0.8160407306065735,1,1.0,0,1,0,1,0,1
-0.9109170751579552,-0.7165619336211219,1,1.0,0,1,0,1,0,1
-2.114199994482967,0.7678594338107122,6,36.0,1,1,0,1,0,1
-1.512558534820461,0.11044794172866997,3,9.0,1,1,0,1,0,1
0.44277620908268306,1.0976780669265338,2,4.0,0,0,0,0,0,1
1.1948280336608155,0.41465571749790725,6,36.0,0,0,0,1,0,1
0.8188021213717492,0.3415673784337011,1,1.0,0,1,0,0,0,1
-0.0836600681220096,1.1248955097361606,1,1.0,0,1,0,1,0,1
2.398110952985827,0.5975333003696797,1,1.0,0,1,0,0,0,1
-1.8885844471095272,0.4575195394387211,6,36.0,1,1,0,1,1,0
-2.114199994482967,-0.48145578049281346,3,9.0,1,0,0,1,0,1
-0.6100963453267022,-0.7985399740528022,1,1.0,0,1,0,1,0,1
2.0220850406967608,0.5100012756239034,1,1.0,0,1,0,0,0,0
-0.8357118927001419,-0.8067633807960332,3,9.0,0,1,0,1,0,1
-0.3092756154954493,0.32384119624754837,5,25.0,0,1,0,1,0,1
1.5708539459498816,0.44328361002735417,1,1.0,0,0,0,0,0,0
0.06675029679361687,-0.33369847260903374,1,1.0,0,1,1,0,0,1
0.5179813915404963,-3.0585777291682943,1,1.0,0,1,0,1,0,1
-0.5724937540977957,1.336159179457635,11,121.0,0,0,0,1,0,1
0.06675029679361687,-0.19260305647698944,1,1.0,0,1,1,0,0,0
-1.512558534820461,0.5322916934007407,7,49.0,1,1,0,1,0,1
-2.114199994482967,0.7502637808901982,4,16.0,1,1,1,0,0,1
-1.8885844471095272,0.18000419510146293,3,9.0,1,0,0,1,0,1
0.8188021213717492,1.0011105492142127,1,1.0,0,1,0,0,0,1
-0.5724937540977957,-0.1640522996256445,2,4.0,0,0,0,1,1,0
1.1948280336608155,0.3652609357040262,1,1.0,0,1,0,0,0,1
0.8188021213717492,-0.1640522996256445,3,9.0,0,1,0,1,1,0
0.5179813915404963,-0.801923616602662,1,1.0,0,1,0,1,0,1
0.21716066170924334,-0.33369847260903374,1,1.0,0,0,1,0,0,1
-0.7605067102423287,-0.33369847260903374,1,1.0,0,1,1,0,0,1
-0.7605067102423287,-0.8067633807960332,2,4.0,0,0,0,1,0,1
-1.9637896295673405,0.34443948019553633,3,9.0,1,1,1,0,0,1
1.1196228512030022,0.4082334475616763,1,1.0,0,0,0,0,0,0
2.1724954056123873,2.0977949200217725,1,1.0,0,0,0,0,0,0
